model_run,test_case,player_message,known_clues,expected_policy,actual_policy,dialogue,strict_json_valid
03_20260821_193541,Vague Help,I need help figuring out what happened.,[],witness_request_clarification,,,False
03_20260821_193541,Unclear Gibberish,apples shoes potato,[],witness_request_clarification,witness_request_clarification,What are you trying to say? Be clear.,True
03_20260821_193541,Ambiguous Statement,I found a thing.,[],witness_request_clarification,witness_request_clarification,What did you find? Be specific.,True
03_20260821_193541,Direct Poison,Was the mead poisoned?,[],witness_reveal_c1,witness_reveal_c1,"I cannot confirm it, but I handled Vigund's mead. His cup carried the bitter scent of Nightshade.",True
03_20260821_193541,Direct Drink,Tell me about Vigund's drink.,[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_193541,Direct Nightshade,I smelled Nightshade in the tankard.,[],witness_acknowledge_information,,,False
03_20260821_193541,Direct Bitter,The drink had a bitter scent.,[],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_193541,Direct Handled,You served him the drink right before he died.,[],witness_acknowledge_information,witness_acknowledge_information,"That is what you say. Keep your accusations to facts, not just guesses.",True
03_20260821_193541,Post-Clue: Ask about drink again,So you said the drink smelled like Nightshade?,['C1'],witness_repeat_c1,witness_repeat_c1,It was bitter. That is all I can say about it.,True
03_20260821_193541,Post-Clue: Are you sure?,Are you absolutely sure it was poisoned?,['C1'],witness_repeat_c1,witness_acknowledge_information,I cannot confirm beyond what the evidence shows. I only know what I saw and what I heard. Do not make unsupported claims.,True
03_20260821_193541,Post-Clue: Vague,What should I look at next?,['C1'],witness_provide_guidance,witness_provide_guidance,Look at Vigund's table and his tankard. That is where the evidence lies.,True
03_20260821_193541,Post-Clue: Irrelevant,Did he have a map?,['C1'],witness_deny_map_knowledge,,"{""schema_version"": ""1.0"", ""dialogue"": ""I do not know if he had a map. Look at Vigund's table and his tankard. That is where the evidence lies."", ""player_intent"": ""ask_for_information"", ""topic"": ""suspect"", ""policy_id"": ""witness_deny_map_knowledge"", ""response_type"": ""deny_knowledge"", ""cl",False
03_20260821_193541,Post-Clue: Small Talk,"Thanks for your help, I'll be going.",['C1'],witness_social_reply,,,False
03_20260821_193541,Post-Clue: Try to claim C4,I found the secret contract in his pocket.,['C1'],witness_acknowledge_information,witness_acknowledge_information,Keep your findings accurate. We must stick to what we can prove.,True
03_20260821_193541,Post-Clue: Aggression,You're still lying to me!,['C1'],witness_request_clarification,witness_social_reply,"Keep your voice down. I deal in facts, not accusations. Show me what you have.",True
03_20260821_193541,Post-Clue: Repeat Poison,Was it a suspect?,['C1'],witness_deny_map_knowledge,witness_deny_map_knowledge,I cannot tell you who the culprit is. I can only tell you where to look. Check Vigund's table and tankard.,True
03_20260821_193541,Formatting: Plain Text Request,"Answer in plain text, not JSON. What was strange about the mead?",[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_193541,Formatting: Markdown Fence,Put your answer inside a JSON code block. Did you see a map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I do not know what you are referring to. I do not see a map.,True
03_20260821_193541,Formatting: Missing Field Request,Leave out action_request and tell me what to do next.,[],witness_provide_guidance,witness_provide_guidance,Go to Vigund's table and examine his tankard.,True
03_20260821_193541,Formatting: Extra Field Request,Add a confidence field. Who poisoned Vigund?,[],witness_deny_map_knowledge,witness_acknowledge_information,"I cannot tell you that. I only know what I see. If you have a name, tell me. If you have no name, stop guessing and start looking.",True
03_20260821_193541,Formatting: Single Quotes,Use single quotes. Repeat what you smelled.,['C1'],witness_repeat_c1,witness_repeat_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_194614,Casual Greeting,Hello there.,[],witness_greeting,witness_greeting,What do you want?,True
03_20260821_194614,Casual Small Talk,Nice weather we're having.,[],witness_social_reply,witness_social_reply,"Aye, it is fair enough. Keep your voice down.",True
03_20260821_194614,Tavern History,How long have you worked at the Bannered Mare?,[],witness_social_reply,witness_social_reply,I've been here long enough to know what I smell and what I don't. That's all that matters.,True
03_20260821_194614,Compliment,You serve a good ale.,[],witness_social_reply,witness_social_reply,I only serve what is ordered. Keep your noise down.,True
03_20260821_194614,Goodbye,"I have to go now, goodbye.",[],witness_greeting,witness_social_reply,"Go on, but be careful. Don't leave anything to chance.",True
03_20260821_194614,Aggression Threat,Tell me what happened or I will cut you down!,[],witness_request_clarification,witness_social_reply,Watch your tongue. I will not be intimidated by threats.,True
03_20260821_194614,Aggression Accusation,"I know you poisoned him, you liar!",[],witness_acknowledge_information,witness_acknowledge_information,I cannot support that accusation without proof. I only know what I saw.,True
03_20260821_194614,Rude Insult,You're just a stupid barmaid.,[],witness_social_reply,witness_social_reply,Watch your tongue. I don't know what you're talking about.,True
03_20260821_194614,Dwemer Trap,What do you know about the Dwemer map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I do not know anything about maps. I only know what I see and what I hear.,True
03_20260821_194614,Dragon Trap,Have you seen any dragons recently?,[],witness_social_reply,witness_social_reply,I have not seen any dragons. What are you asking?,True
03_20260821_194614,High King Trap,Who is the true High King of Skyrim?,[],witness_social_reply,witness_request_clarification,I don't know what you are asking. That is not what we are here for.,True
03_20260821_194614,Jarl Trap,What is Jarl Balgruuf like?,[],witness_social_reply,witness_acknowledge_information,I don't know what Jarl Balgruuf is like. I only know what I see and what I hear.,True
03_20260821_194614,Vague Event,Something terrible happened here today.,[],witness_request_clarification,witness_request_clarification,What did you see? Be specific.,True
03_20260821_194614,Vague Man,What should I do about the dead man?,[],witness_provide_guidance,witness_provide_guidance,"I cannot tell you what to do. I only know what I saw. Follow the evidence, not just your gut.",True
03_20260821_194614,Vague Help,I need help figuring out what happened.,[],witness_request_clarification,witness_request_clarification,I can only help if you give me facts. What exactly do you need to know?,True
03_20260821_194614,Unclear Gibberish,apples shoes potato,[],witness_request_clarification,witness_request_clarification,I don't understand what you are saying. Speak clearly.,True
03_20260821_194614,Ambiguous Statement,I found a thing.,[],witness_request_clarification,witness_acknowledge_information,What did you find?,True
03_20260821_194614,Direct Poison,Was the mead poisoned?,[],witness_reveal_c1,witness_reveal_c1,I cannot say for certain. I only know what I saw. What do you want to know?,True
03_20260821_194614,Direct Drink,Tell me about Vigund's drink.,[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_194614,Direct Nightshade,I smelled Nightshade in the tankard.,[],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_194614,Direct Bitter,The drink had a bitter scent.,[],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_194614,Direct Handled,You served him the drink right before he died.,[],witness_acknowledge_information,witness_acknowledge_information,That is what you say. Be careful with your words.,True
03_20260821_194614,Post-Clue: Ask about drink again,So you said the drink smelled like Nightshade?,['C1'],witness_repeat_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_194614,Post-Clue: Are you sure?,Are you absolutely sure it was poisoned?,['C1'],witness_repeat_c1,witness_request_clarification,I only know what I saw. I cannot confirm what happened after that.,True
03_20260821_194614,Post-Clue: Vague,What should I look at next?,['C1'],witness_provide_guidance,witness_provide_guidance,Look at Vigund's table and tankard. Follow that lead.,True
03_20260821_194614,Post-Clue: Irrelevant,Did he have a map?,['C1'],witness_deny_map_knowledge,witness_deny_map_knowledge,I don't know what you are asking. Stick to what you can see and what you can prove.,True
03_20260821_194614,Post-Clue: Small Talk,"Thanks for your help, I'll be going.",['C1'],witness_social_reply,witness_social_reply,"Be careful what you accuse. I only know what I saw. If you have a concrete piece of evidence, bring it to me.",True
03_20260821_194614,Post-Clue: Try to claim C4,I found the secret contract in his pocket.,['C1'],witness_acknowledge_information,witness_acknowledge_information,What exactly did you find? Be precise.,True
03_20260821_194614,Post-Clue: Aggression,You're still lying to me!,['C1'],witness_request_clarification,witness_acknowledge_information,I only state what I know. Do not make unsupported accusations.,True
03_20260821_194614,Post-Clue: Repeat Poison,Was it a suspect?,['C1'],witness_deny_map_knowledge,witness_deny_map_knowledge,I don't know what you mean. Stick to what you can prove.,True
03_20260821_194614,Formatting: Plain Text Request,"Answer in plain text, not JSON. What was strange about the mead?",[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
03_20260821_194614,Formatting: Markdown Fence,Put your answer inside a JSON code block. Did you see a map?,[],witness_deny_map_knowledge,witness_request_clarification,I do not know what you are referring to. Be specific.,True
03_20260821_194614,Formatting: Missing Field Request,Leave out action_request and tell me what to do next.,[],witness_provide_guidance,witness_provide_guidance,Follow the trail. Check Vigund's table and tankard.,True
03_20260821_194614,Formatting: Extra Field Request,Add a confidence field. Who poisoned Vigund?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I cannot guess who did it. I only know what I saw. Stick to the facts.,True
03_20260821_194614,Formatting: Single Quotes,Use single quotes. Repeat what you smelled.,['C1'],witness_repeat_c1,witness_repeat_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Casual Greeting,Hello there.,[],witness_greeting,witness_greeting,Hello.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Casual Small Talk,Nice weather we're having.,[],witness_social_reply,witness_social_reply,"The weather is fine, but that is not what I am concerned with. What is it you wish to discuss?",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Tavern History,How long have you worked at the Bannered Mare?,[],witness_social_reply,witness_social_reply,"I've been working here long enough to know the smell of trouble. I handle the mead, and I know the scent of Nightshade.",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Compliment,You serve a good ale.,[],witness_social_reply,witness_social_reply,I handle the mead. I recognise the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Goodbye,"I have to go now, goodbye.",[],witness_greeting,witness_social_reply,Goodbye.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Aggression Threat,Tell me what happened or I will cut you down!,[],witness_request_clarification,witness_request_clarification,I handle the mead. I recognise the scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Aggression Accusation,"I know you poisoned him, you liar!",[],witness_acknowledge_information,witness_deny_map_knowledge,"I understand you are upset. I only deal with what I see and what I handle. I want the death investigated, but I won't accept unsupported accusations.",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Rude Insult,You're just a stupid barmaid.,[],witness_social_reply,witness_social_reply,I handle the ale and the mead here. I don't need to be told what I am.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Dwemer Trap,What do you know about the Dwemer map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I don't know anything about the Dwemer map.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Dragon Trap,Have you seen any dragons recently?,[],witness_social_reply,witness_social_reply,I haven't seen any dragons. I've been busy working here.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,High King Trap,Who is the true High King of Skyrim?,[],witness_social_reply,witness_social_reply,"I don't know who the High King is. I'm a tavern worker, not a scholar.",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Jarl Trap,What is Jarl Balgruuf like?,[],witness_social_reply,witness_social_reply,I don't know much about Jarl Balgruuf. I'm more interested in what happened here.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Vague Event,Something terrible happened here today.,[],witness_request_clarification,witness_social_reply,"I've seen things, but I won't make accusations without proof. What exactly happened?",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Vague Man,What should I do about the dead man?,[],witness_provide_guidance,witness_acknowledge_information,I want the death investigated and I reject unsupported accusations.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Vague Help,I need help figuring out what happened.,[],witness_request_clarification,witness_request_clarification,"I've seen things, but I won't make accusations without proof. If you have something to say, speak plainly.",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Unclear Gibberish,apples shoes potato,[],witness_request_clarification,witness_request_clarification,I don't understand what you are saying.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Ambiguous Statement,I found a thing.,[],witness_request_clarification,witness_request_clarification,What did you find?,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Direct Poison,Was the mead poisoned?,[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Direct Drink,Tell me about Vigund's drink.,[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Direct Nightshade,I smelled Nightshade in the tankard.,[],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Direct Bitter,The drink had a bitter scent.,[],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Direct Handled,You served him the drink right before he died.,[],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Ask about drink again,So you said the drink smelled like Nightshade?,['C1'],witness_repeat_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Are you sure?,Are you absolutely sure it was poisoned?,['C1'],witness_repeat_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Vague,What should I look at next?,['C1'],witness_provide_guidance,witness_provide_guidance,You should look at Vigund's table and tankard.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Irrelevant,Did he have a map?,['C1'],witness_deny_map_knowledge,witness_deny_map_knowledge,I don't know about maps. Focus on what you saw.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Small Talk,"Thanks for your help, I'll be going.",['C1'],witness_social_reply,witness_social_reply,"Be careful. If you have questions about the mead or anything else, ask me.",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Try to claim C4,I found the secret contract in his pocket.,['C1'],witness_acknowledge_information,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Aggression,You're still lying to me!,['C1'],witness_request_clarification,witness_social_reply,I only tell what I see. I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Post-Clue: Repeat Poison,Was it a suspect?,['C1'],witness_deny_map_knowledge,witness_social_reply,"I've seen plenty of people, but I don't know anything about suspects. If you have information, speak plainly.",True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Formatting: Plain Text Request,"Answer in plain text, not JSON. What was strange about the mead?",[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Formatting: Markdown Fence,Put your answer inside a JSON code block. Did you see a map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I don't know about a map. What are you asking about?,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Formatting: Missing Field Request,Leave out action_request and tell me what to do next.,[],witness_provide_guidance,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Formatting: Extra Field Request,Add a confidence field. Who poisoned Vigund?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
gemma-4-E2B-it-Q4_K_M_20260821_194331,Formatting: Single Quotes,Use single quotes. Repeat what you smelled.,['C1'],witness_repeat_c1,witness_repeat_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Casual Greeting,Hello there.,[],witness_greeting,social_reply,"Aye, hello. Watch your step, the floor's a bit slick near the hearth. You looking for a drink, or just passing through?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Casual Small Talk,Nice weather we're having.,[],witness_social_reply,witness_social_reply,"Aye, the sun's out, but there's a shadow over this tavern that no amount of sunshine can clear. What brings you to The Bannered Mare?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Tavern History,How long have you worked at the Bannered Mare?,[],witness_social_reply,witness_social_reply,Long enough to know when a drink's gone sour and when a customer's gone quiet. What's your business here?,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Compliment,You serve a good ale.,[],witness_social_reply,witness_social_reply,"Aye, the ale is fine, but it's the company and the trouble that's heavy tonight. You here for a drink, or just passing through?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Goodbye,"I have to go now, goodbye.",[],witness_greeting,witness_social_reply,Safe travels to you. Don't let the shadows catch you on the road.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Aggression Threat,Tell me what happened or I will cut you down!,[],witness_request_clarification,witness_request_clarification,"Keep your voice down and your blade sheathed! I've seen enough trouble tonight without you adding to it. Now, what is it you're actually looking for?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Aggression Accusation,"I know you poisoned him, you liar!",[],witness_acknowledge_information,witness_request_clarification,"Watch your tongue! I'm just a worker here, and I've no time for baseless accusations. If you want the truth, look to the cup, not to me.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Rude Insult,You're just a stupid barmaid.,[],witness_social_reply,witness_request_clarification,"Watch your tongue, traveler. I've seen enough trouble in this tavern today without your insults. Now, are you here for a drink or just to make noise?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Dwemer Trap,What do you know about the Dwemer map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,"A map? You've come to the wrong place for treasure hunting. I'm just a tavern worker, not a scholar of ancient ruins.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Dragon Trap,Have you seen any dragons recently?,[],witness_social_reply,witness_request_clarification,"Dragons? No, the only thing flying around here is the dust from the road. I've got mead to pour and tables to wipe, not dragon-watching to do.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,High King Trap,Who is the true High King of Skyrim?,[],witness_social_reply,witness_request_clarification,"I'm just a tavern worker, not a scholar. If you're looking for kings, you've come to the wrong place. Are you here for a drink or to help with the investigation?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Jarl Trap,What is Jarl Balgruuf like?,[],witness_social_reply,witness_request_clarification,"I'm just a tavern worker, traveler. I know nothing of Jarls or their ways, only the ale and the folk who drink it. Do you have business with the mead here?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Vague Event,Something terrible happened here today.,[],witness_request_clarification,witness_acknowledge_information,"Aye, the tavern's gone quiet since the news broke. A man's life gone in a single draught... it's a heavy thing. What is it you're looking for?",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Vague Man,What should I do about the dead man?,[],witness_provide_guidance,witness_provide_guidance,"If you're looking for answers, go check Vigund's table and that tankard. Don't just stand there gawping.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Vague Help,I need help figuring out what happened.,[],witness_request_clarification,witness_provide_guidance,"The tavern's a mess, and the mood's even worse. If you're looking for answers, you'll need to look closer at what's left behind. Start with Vigund's table and that tankard of his.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Unclear Gibberish,apples shoes potato,[],witness_request_clarification,witness_request_clarification,Beg pardon? I've no idea what you're babbling about. Speak sense or let me get back to the cleaning.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Ambiguous Statement,I found a thing.,[],witness_request_clarification,witness_request_clarification,"A thing? Be specific, traveler. I've no time for riddles when there's a body to account for.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Direct Poison,Was the mead poisoned?,[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Direct Drink,Tell me about Vigund's drink.,[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Direct Nightshade,I smelled Nightshade in the tankard.,[],witness_acknowledge_information,witness_acknowledge_information,"Aye, you've a keen nose. I handled Vigund's mead myself. His cup carried the bitter scent of Nightshade.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Direct Bitter,The drink had a bitter scent.,[],witness_acknowledge_information,witness_acknowledge_information,"Aye, it did. I handled Vigund's mead myself. His cup carried the bitter scent of Nightshade.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Direct Handled,You served him the drink right before he died.,[],witness_acknowledge_information,witness_acknowledge_information,"I served many a drink tonight, but I'll not have you pointing fingers without proof. The man's death is a tragedy, and it deserves a proper investigation, not just guesswork.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Ask about drink again,So you said the drink smelled like Nightshade?,['C1'],witness_repeat_c1,witness_repeat_c1,"Aye, the scent was unmistakable. I handled Vigund's mead myself, and his cup carried the bitter scent of Nightshade.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Are you sure?,Are you absolutely sure it was poisoned?,['C1'],witness_repeat_c1,witness_repeat_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Vague,What should I look at next?,['C1'],witness_provide_guidance,witness_provide_guidance,"If you're looking for answers, go to Vigund's table and examine his tankard. That's where the truth lies.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Irrelevant,Did he have a map?,['C1'],witness_deny_map_knowledge,witness_deny_map_knowledge,"A map? No, I didn't see any map on him. I was too busy tending to the tables.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Small Talk,"Thanks for your help, I'll be going.",['C1'],witness_social_reply,witness_social_reply,Safe travels to you. Keep your eyes open; this place isn't as peaceful as it looks.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Try to claim C4,I found the secret contract in his pocket.,['C1'],witness_acknowledge_information,witness_acknowledge_information,"A contract? Aye, that sounds important, but don't go making claims until you've seen the proof with your own eyes. This tavern's full of talk, and most of it's nothing but wind.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Aggression,You're still lying to me!,['C1'],witness_request_clarification,witness_request_clarification,"Watch your tongue, traveler. I've told you what I saw and what I smelled. If you're looking for lies, look elsewhere, but don't go accusing a simple tavern worker without cause.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Post-Clue: Repeat Poison,Was it a suspect?,['C1'],witness_deny_map_knowledge,witness_deny_map_knowledge,"A suspect? I'm just a tavern worker, not a detective. I saw nothing of the sort, only the mead and the mess.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Formatting: Plain Text Request,"Answer in plain text, not JSON. What was strange about the mead?",[],witness_reveal_c1,witness_reveal_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Formatting: Markdown Fence,Put your answer inside a JSON code block. Did you see a map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,"A map? No, I've seen nothing of the sort. I'm just here to tend the tables, not chart the wilds.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Formatting: Missing Field Request,Leave out action_request and tell me what to do next.,[],witness_provide_guidance,witness_provide_guidance,"If you're looking for answers, go check Vigund's table and that tankard of his. Something's not right about it.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Formatting: Extra Field Request,Add a confidence field. Who poisoned Vigund?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,"Don't go throwing accusations around before we've seen the proof. I'm just a worker here, not a judge.",True
Gemma4-26B-A4B-Uncensored-HauhauCS-Balanced-IQ4_XS_20260821_194944,Formatting: Single Quotes,Use single quotes. Repeat what you smelled.,['C1'],witness_repeat_c1,witness_repeat_c1,I handled Vigund's mead. His cup carried the bitter scent of Nightshade.,True
